Dung lượng RAM,Wi-Fi,Loại CPU,4star,Tính năng đặc biệt,3star,Ổ cứng,Bluetooth,old_price,Chất liệu tấm nền,Loại card đồ họa,Khe đọc thẻ nhớ,item_name,Hệ điều hành,2star,Công nghệ màn hình,Công nghệ âm thanh,5star,comment_count,Độ phân giải màn hình,Webcam,Kích thước,Loại RAM,Độ phân giải ,Trọng lượng,Màn hình cảm ứng,Cổng giao tiếp,1star,Chất liệu,url,Kích thước màn hình,Đèn bàn phím,Pin,special_price
8GB,Wi-Fi 6: 802.11ax,10th Gen Intel Core i5 processor – 1035G1,0,"Ổ cứng SSD, Wi-Fi 6, Màn hình cảm ứng, Viền màn hình siêu mỏng, Bảo mật vân tay",0,SSD: 256GB,Bluetooth Wireless 5.0,25.990.000,Tấm nền IPS,Intel UHD Graphics,Không,Surface Laptop Go Core i5 / 8GB / 256 GB / 12.4 inch Chính Hãng,Windows 10 Home in S mode,0,"Công nghệ màn hình PixelSense, cảm ứng đa điểm (10 điểm)","Mics Studio trường xa kép, Loa Omnisonic với Dolby® Audio ™",0,76,1536 x 1024 pixels,Camera HD 720p f2.0,278.18 mm x 205.67 mm x 15.69 mm,LPDDR4x,Full HD,"1,110 g",Có,1 cổng USB-C 1 cổng USB-A 1 cổng 3.5 mm headphone jack 1 cổng Surface Connect port,0,Vỏ kim loại,https://cellphones.com.vn/surface-laptop-go-256gb.html,12.4 inches,,,21.590.000
8GB,Wi-Fi 6: 802.11ax,10th Gen Intel Core i5 processor – 1035G1,0,"Ổ cứng SSD, Wi-Fi 6, Màn hình cảm ứng, Viền màn hình siêu mỏng, Bảo mật vân tay",0,SSD: 128GB,Bluetooth Wireless 5.0,23.990.000,Tấm nền IPS,Intel UHD Graphics,Không,Surface Laptop Go Core i5 / 8GB / 128 GB / 12.4 inch Chính Hãng,Windows 10 Home in S mode,0,"Công nghệ màn hình PixelSense, cảm ứng đa điểm","Mics Studio trường xa kép, Loa Omnisonic với Dolby® Audio ™",0,164,1536 x 1024 pixels,"Camera 720p, khẩu độ f2.0",278.18 mm x 205.67 mm x 15.69 mm,LPDDR4x,Full HD,"1,110 g",Có,1 cổng USB-C 1 cổng USB-A 1 cổng 3.5 mm headphone jack 1 cổng Surface Connect port,0,,https://cellphones.com.vn/surface-laptop-go.html,12.4 inches,,Lên đến 13 giờ (Tùy vào nhu cầu sử dụng),19.790.000
8GB,Intel Wi-Fi 6(Gig+)(802.11ax) (2x2),Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,0,"Ổ cứng SSD, Wi-Fi 6",0,512GB SSD M.2 PCIE G3X2 (1 slot),v5.0,25.290.000,Tấm nền OLED/AMOLED,Intel Iris Xe Graphics,Có,Laptop ASUS ZenBook UX325EA-KG363T,Windows 10 Home SL ,0,"60 Hz, 400 nits, Độ phủ màu100% DCI-P3",Harman Kardon,0,74,1920 x 1080 pixels (FullHD),HD Web Camera,30.42 x 20.3 x 1.39 ~ 1.39 cm, LPDDR4X 3200MHz,Full HD,1.14kg,,2x Thunderbolt 4 USB-C (supports display / power delivery) 1x USB 3.2 Gen 1 Type-A (up to 5Gbps) 1x Standard HDMI 2.1,0,Vỏ kim loại,https://cellphones.com.vn/laptop-asus-zenbook-ux325ea-kg363t.html,13.3 inches,Có,4 Cell ,23.590.000
4GB,WiFi 802.11ac,"Intel Core i5-1035G1 ( 1.0 GHz - 3.6 GHz / 6MB / 4 nhân, 8 luồng )",0,Ổ cứng SSD,0,256GB SSD M.2 NVMe,v5.0,13.990.000,Tấm nền IPS,Intel UHD Graphics,,Laptop Acer Aspire 3 A315-56-502X NX.HS5SV.00F,Windows 10 Home SL,0,"15.6"" ( 1920 x 1080 ) Full HD không cảm ứng , VGA webcam",2 Loa,0,187,1080 x 1920 pixels (FullHD),HD Camre,36.34 x 24.75 x 1.99 cm,"DDR4 2400MHz, 1 khe cắm, hỗ trợ tối đa 12GB",Full HD,1.7 kg,Không,"1 x HDMI, 1 x USB 3.1 , 2 x USB 2.0 , LAN 1 Gb/s",0,,https://cellphones.com.vn/laptop-acer-aspire-3-a315.html,15.6 inches,Không,"2 cell 36 Wh, Pin liền",13.790.000
8GB,802.11b/g/n/ac ,Core i5 1135G7 2.4Ghz-8Mb,0,Ổ cứng SSD,0,256 GB PCIe® NVMe™ M.2 SSD,v5.0,19.990.000,,Intel® Iris® Xe Graphics,Có,Laptop HP 15-HP 15 T-DW300 1A3Y3AV,Windows 10 Home SL ,0,,,0,15,1366 x 768 pixels (HD+),HD 720p ,35.84 x 24.21 x 1.98 cm,"8GB (2x4GB) DDR4-2666, 2 khe cắm tối đa 16GB",HD,1.75 kg,Không,1 x multi-format SD media card reader 1 x SuperSpeed USB Type-C® 5Gbps signaling rate 2 x SuperSpeed USB Type-A 5Gbps signaling rate 1 x HDMI 1.4b 1 x RJ-45 1 x AC smart pin 1 x headphone/microphone combo,0,Vỏ nhựa,https://cellphones.com.vn/laptop-hp-15-hp-15-t-dw300-1a3y3av.html,15.6 inches,Không,"3-cell, 41 Wh",17.290.000
8GB,Wi-Fi 5 (2x2),"AMD Ryzen 5 5500U (tối đa 4,0 GHz, 8 MB bộ nhớ đệm L3, 6 lõi, 12 luồng)",0,Ổ cứng SSD,0,256 GB PCIe® NVMe™ M.2 SSD,v4.2,18.990.000,,AMD Radeon™ Graphics,Có,Laptop HP 15 Z-EF2000 2J4V7AV Nhập khẩu chính hãng,Windows 10 Home SL ,0,Màn hình chống loá,2 Loa,0,19,1366 x 768 pixels (HD+),HD 720p ,35.84 x 24.21 x 1.80 cm,"8GB (2x4GB) DDR4-3200Mhz, tối đa 16GB",HD,1.70 kg,Không,1 x SuperSpeed USB Type-C® 5Gbps signaling rate 2 x SuperSpeed USB Type-A 5Gbps signaling rate 1 x HDMI 1.4b 1 x AC smart pin 1 x headphone/microphone combo,0,,https://cellphones.com.vn/laptop-hp-15-z-ef2000-2j4v7av.html,15.6 inches,Không,"3-cell, 41 Wh ",16.990.000
4GB,802.11a/b/g/n/ac (1x1),"Intel® Pentium® Silver N5030 (1.1 GHz base frequency, up to 3.1 GHz)",0,Ổ cứng SSD,0,128 GB SATA M.2 SSD,4.2,11.990.000,,Intel® UHD Graphics 605,,Laptop HP 14-CF2033WM 3V7G4UA,,0,"220 nits, 45% NTSC",2 Loa,0,35,1366 x 768 pixels (HD+),HP True Vision 720p HD camera,32.4 x 22.59 x 1.99 cm,4 GB DDR4-2400 MHz RAM (1 x 4 GB),HD,1.47 kg,Không,1x SuperSpeed USB Type-C® 5Gbps  2x SuperSpeed USB Type-A 5Gbps 1x HDMI 1.4 1x RJ-45  1x AC smart pin  1x headphone/microphone combo,0,,https://cellphones.com.vn/laptop-hp-14-cf2033wm-3v7g4ua-pent.html,14 inches,,"3-cell, 41 Wh Li-ion",10.990.000
16GB,Intel Wi-Fi 6(Gig+)(802.11ax),"AMD Ryzen 7 5800H 3.20GHz up to 4.40GHz, 8 nhân 16 luồng",0,"Ổ cứng SSD, Wi-Fi 6",0,512GB PCIE SSD,v5.0,40.990.000,Tấm nền IPS,NVIDIA® GeForce RTX™ 3070 8GB GDDR6,Có,Laptop ASUS TUF Gaming FA506QR-AZ003T,Windows 10 Home SL ,0,"Tần số quét 240Hz, Nanoedge, 100% SRGB, màn hình chống chói",2 Loa,0,7,1920 x 1080 pixels (FullHD),HD 720p,35.9 x 25.6 x 2.28 ~ 2.43 cm,"DDR4 3200MHz, 16GB (8GB+8GB), 2 khe",Full HD,2.30 kg,Không, 1 x RJ45 LAN  1 x Type A USB 2.0 1 x Type C USB 3.2 Gen 2 2 x Type A USB 3.2 Gen 1 1 x HDMI 2.0b 1 x 3.5mm Combo Audio Jack ,0,,https://cellphones.com.vn/laptop-asus-tuf-gaming-fa506qr-az003t.html,15.6 inches,Có,4Cell 90WHrs,36.990.000
8GB,"Wifi 802.11ac, 2x2","Intel Core i7-1165G7 (4C / 8T, 2.8 / 4.7GHz, 12MB)",0,Ổ cứng SSD,0,"512GB SSD M.2 2280 PCIe 4.0x4 NVMeOne drive,Hỗ trợ nâng cấp 1TB M.2 2280 SSD",5,27.990.000,Tấm nền IPS,Integrated Intel Iris Xe Graphics,,Laptop Lenovo Yoga Slim 7I 14ITL5,"Windows 10 Home 64, English",0,"300nits Glossy, 100% sRGB",High Definition (HD) Audio,0,13,1080 x 1920 pixels (FullHD),720p + IR + ToF,32.06 (W) x 20.818 (D) x 1.49 (H) cm,8GB Soldered DDR4-3200,Full HD,1.36 kg,Không,1x HDMI 1.4b  1x USB 3.2 Gen 1  1x USB 3.2 Gen 1 (Always On)  2x Thunderbolt 4 / USB4 40Gbp  1x Card reader  1x Headphone,0,,https://cellphones.com.vn/laptop-lenovo-yoga-slim-7i-14itl5-82a300a6vn.html,14 inches,,60.7Wh,26.490.000
8GB,Wi-Fi 6(802.11ax),"AMD Ryzen 7-4800H, 2.9GHz up to 4.2GHz, 8 nhân 16 luồng",0,"Ổ cứng SSD, Wi-Fi 6",0,512GB M.2 NVMe™ PCIe® 3.0 SSD,v5.1,27.490.000,Tấm nền IPS,NVIDIA® GeForce RTX™ 3050 4GB GDDR6,Có,Laptop ASUS ROG Strix G15 G513IC-HN002T,Windows 10 Home SL ,0,"Tần số quét 144Hz, màn hình chống loá",2 Loa,0,31,1920 x 1080 pixels (FullHD),HD 720p ,35.4 x 25.9 x 2.06 ~ 2.59 cm,"DDR4-3200MHz, 2 khe cắm tối đa 32GB",Full HD,2.10 Kg,Không,1x Type C USB 3.2 Gen 1 with Power Delivery and Display Port 3x USB 3.2 Gen 1 Type-A 1 x HDMI 2.0b 1x 3.5mm Combo Audio Jack,0,,https://cellphones.com.vn/laptop-asus-rog-strix-g15-g513ic-hn002t.html,15.6 inches,Có,"4-cell, 56WHrs",26.590.000
4GB,,i3-1115G4,0,,0,128GB SSD,,15.990.000,,,,Laptop Dell Inspiron 3511 5G8TF,Windows 10 Home,0,,,0,23,,Có,21 x 20 x 1.47cm,,Full HD,2kh,Không,,0,,https://cellphones.com.vn/laptop-dell-inspiron-3501-5g8tf.html,15.6 inches,,,13.990.000
8GB,802.11ac,"Intel Core i3-1115G4 Dual-Core Processor(2 Core, 4 Threads, 6MB Cache, Base Frequency 3.0GHz,Up to 4.1GHz at Maximum Turbo Speed)",0,Ổ cứng SSD,0, 128GB PCIe SSD,,15.990.000,Tấm nền VA,Intel UHD Graphics,Có,Laptop Dell Inspiron 3511 26F1K,Windows 10 Home SL ,0,Màn hình chống loá,,0,14,1920 x 1080 pixels (FullHD),HD 720p,,DDR4 ,Full HD,1.83kg,Không,"2 x USB 3.2 Gen 1 ports 1 x USB 2.0 Gen 1 port 1 x RJ45 - 10/100Mbps Ethernet port, 1 x Headset (Headphone and Microphone Combo) port 1 x HDMI 1.4 port 1 x Power jack 1 x SD Card Reader",0,Vỏ nhựa,https://cellphones.com.vn/laptop-dell-inspiron-3501-26f1k.html,15.6 inches,Có,,15.290.000
8GB,802.11AC (2X2),"Intel Core i5-11400H Processor 2.7 GHz (12M Cache, up to 4.5 GHz, 6 Cores)",0,"Ổ cứng SSD, Wi-Fi 6",0,512GB SSD M.2 PCIE,v5.0,25.990.000,Tấm nền IPS,NVIDIA® GeForce RTX™ 3050 4GB GDDR6,Có,Laptop ASUS Gaming TUF FX506HCB-HN139T,Windows 10 Home SL ,0,"Màn hình chống loá, tần số quét 144Hz",2 Loa,0,29,1920 x 1080 pixels (FullHD),HD 720p,35.9 x 25.6 x 2.28 ~ 2.43 cm,"DDR4 2933MHz, 2 khe cắm",Full HD,2.3 kg,Không,1x RJ45 LAN port 3x USB 3.2 Gen 1 Type-A 1x 3.5mm Combo Audio Jack  1x HDMI 2.0b,0,,https://cellphones.com.vn/laptop-asus-tuf-gaming-fx506hcb-hn139t.html,15.6 inches,Có,3 Cell 48WHr,24.790.000
16GB,802.11ax Wi-Fi 6 ,M1 Pro/M1 Max 10 CPU,0,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay, Nhận diện khuôn mặt",0,1TB SSD,v5.0,,,16 GPU,,Macbook Pro 14 M1 Pro 10 CPU - 16 GPU 16GB 1TB 2021,MacOS,0,"120Hz, Liquid Retina, Mini LED, XDR",6 loa,0,11,3024 x 1964 pixels ,"1080p Camera, FaceTime",1.6 kg,,Retina,1.55 x 31.26 x 22.12 cm,Không,1x Headphone jack  1x MagSafe port  1x HDMI  1x Thunderbolt 4  1x SDXC,0,,https://cellphones.com.vn/macbook-pro-14-inch-2021-1tb.html,14.2 inches,,,65.990.000
16GB,802.11ax Wi-Fi 6 ,M1 Pro/M1 Max,0,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay, Nhận diện khuôn mặt",0,512GB SSD,v5.0,,,14 nhân GPU,,Macbook Pro 14 inch 2021,MacOS,0,"120Hz, Liquid Retina, Mini LED, XDR",6 loa,1,95,3024 x 1964 pixels ,"1080p Camera, FaceTime",1.6 kg,,Retina,1.55 x 31.26 x 22.12 cm,Không,1x Headphone jack  1x MagSafe port  1x HDMI  1x Thunderbolt 4  1x SDXC,0,,https://cellphones.com.vn/macbook-pro-14-inch-2021.html,14.2 inches,,,52.990.000
16GB,802.11ax Wi-Fi 6 wireless networking,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,0,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay",0,512GB SSD,Bluetooth 5.0,40.990.000,Tấm nền IPS,"GPU 8 nhân, 16 nhân Neural Engine",Không,Apple MacBook Air M1 16GB 512GB 2020 I Chính hãng Apple Việt Nam,macOS Big Sur,0,Độ sáng 400 nits Hỗ trợ dải màu P3 True-Tone,,0,14,2560 x 1600 pixels (2K),,1.61 cm x 30.41 cm x 21.24 cm,,Retina,1.29 kg,Không,2 cổng Thunderbolt / USB 4,0,,https://cellphones.com.vn/macbook-air-2020-m1-16gb-512gb.html,13.3 inches,,"49.9-watt-hour lithium-polymer, củ sạc công suất 30W",39.500.000
16GB,802.11ax Wi-Fi 6 wireless networking,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,0,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay",0,256GB SSD,Bluetooth 5.0,,Tấm nền IPS,"GPU 7 nhân, 16 nhân Neural Engine",Không,Apple MacBook Air M1 16GB 256GB 2020 I Chính hãng Apple Việt Nam,macOS Big Sur,0,Độ sáng 400 nits Hỗ trợ dải màu P3 True-Tone,,1,83,2560 x 1600 pixels (2K),,1.61 cm x 30.41 cm x 21.24 cm,,Retina,1.29 kg,Không,2 cổng Thunderbolt / USB 4,0,,https://cellphones.com.vn/macbook-air-2020-m1-16gb.html,13.3 inches,,"49.9-watt-hour lithium-polymer, củ sạc công suất 30W",33.990.000
8GB,802.11ax Wi-Fi 6 wireless networking,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,0,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay",0,512GB SSD,Bluetooth 5.0,34.990.000,Tấm nền IPS,"GPU 8 nhân, 16 nhân Neural Engine",Không,Apple MacBook Air M1 512GB 2020 I Chính hãng Apple Việt Nam,macOS Big Sur,0,Độ sáng 400 nits Hỗ trợ dải màu P3 True-Tone,,2,53,2560 x 1600 pixels (2K),,1.61 cm x 30.41 cm x 21.24 cm,,Retina,1.29 kg,Không,Two Thunderbolt / USB 4 ports,0,,https://cellphones.com.vn/macbook-air-2020-m1-512gb.html,13.3 inches,,"49.9-watt-hour lithium-polymer, củ sạc công suất 30W",33.500.000
8GB,802.11ax Wi-Fi 6 wireless networking,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,4,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay",0,256GB SSD,Bluetooth 5.0,28.990.000,Tấm nền IPS,"GPU 7 nhân, 16 nhân Neural Engine",Không,Apple MacBook Air M1 256GB 2020 I Chính hãng Apple Việt Nam,macOS Big Sur,0,Độ sáng 400 nits Hỗ trợ dải màu P3 True-Tone,"3 microphones, headphones, loa kép (2 kênh)",7,627,2560 x 1600 pixels (2K),,1.61 cm x 30.41 cm x 21.24 cm,LPDDR4,Retina,1.29 kg,Không,2 cổng Thunderbolt / USB 4,0,Vỏ kim loại,https://cellphones.com.vn/macbook-air-2020-m1.html,13.3 inches,Có,"49.9-watt-hour lithium-polymer, củ sạc công suất 30W",27.500.000
16GB,802.11ax Wi-Fi 6,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,0,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay",0,512GB SSD,Bluetooth 5.0,46.990.000,Tấm nền IPS,8-core GPU,Không,Apple MacBook Pro 13 Touch Bar M1 16GB 512GB 2020 I Chính hãng Apple Việt Nam,macOS Big Sur,0,Độ sáng 500 nits Hỗ trợ dải màu P3 True-Tone,,1,59,2560 x 1600 pixels (2K),,1.56 cm x 30.41 cm x 21.24 cm,,Retina,1.4 kg,Không,2 cổng Thunderbolt / USB 4 ports,0,,https://cellphones.com.vn/macbook-pro-2020-13-inch-touch-bar-m1-16gb-512gb.html,13.3 inches,,"58.2-watt-hour lithium-polymer, 61W USB-C Power Adapter",45.000.000
16GB,802.11ax Wi-Fi 6,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,0,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay",0,256GB SSD,Bluetooth 5.0,42.990.000,Tấm nền IPS,"8 nhân GPU, 16 nhân Neural Engine",Không,Apple MacBook Pro 13 Touch Bar M1 16GB 256GB 2020 I Chính hãng Apple Việt Nam,macOS Big Sur,0,"13.3-inch (diagonal) LED-backlit display with IPS technology, Retina display",,2,68,2560 x 1600 pixels (2K),,1.56 cm x 30.41 cm x 21.24 cm,,Retina,1.4 kg,Không,2 cổng Thunderbolt / USB 4 ports,0,,https://cellphones.com.vn/macbook-pro-2020-13-inch-touch-bar-m1-16gb.html,13.3 inches,,"58.2-watt-hour lithium-polymer, 61W USB-C Power Adapter",40.500.000
8GB,802.11ax Wi-Fi 6,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,0,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay",0,512GB SSD,Bluetooth 5.0,41.990.000,Tấm nền IPS,"8 nhân GPU, 16 nhân Neural Engine",Không,Apple MacBook Pro 13 Touch Bar M1 512GB 2020 I Chính hãng Apple Việt Nam,macOS Big Sur,0,Độ sáng 500 nits Hỗ trợ dải màu P3 True-Tone,,0,40,2560 x 1600 pixel (2K),,1.56 cm x 30.41 cm x 21.24 cm,,Retina,1.4 kg,Không,2 cổng Thunderbolt / USB 4 ports,0,,https://cellphones.com.vn/macbook-pro-2020-13-inch-touch-bar-m1-512gb.html,13.3 inches,,"58.2-watt-hour lithium-polymer, 61W USB-C Power Adapter",39.000.000
8GB,802.11ax Wi-Fi 6,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,0,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Bảo mật vân tay",0,256GB SSD,Bluetooth 5.0,35.990.000,Tấm nền IPS,"8 nhân GPU, 16 nhân Neural Engine",Không,Apple MacBook Pro 13 Touch Bar M1 256GB 2020 I Chính hãng Apple Việt Nam,macOS Big Sur,0,Độ sáng 500 nits Hỗ trợ dải màu P3 True-Tone,"2 loa, Dolby Atmos",1,246,2560 x 1600 pixel (2K),HD webcam,1.56 cm x 30.41 cm x 21.24 cm,,Retina,1.4 kg,Không,2 cổng Thunderbolt / USB 4 ports,0,,https://cellphones.com.vn/macbook-pro-2020-13-inch-touch-bar-m1.html,13.3 inches,Có,"58.2-watt-hour lithium-polymer, 61W USB-C Power Adapter",33.900.000
4GB,Intel Wi-Fi 6(Gig+)(802.11ax),"Intel® Core™ i3-1115G4, up to 4.1 GHz, 2 cores 4 threads, 6MB Cache",1,"Ổ cứng SSD, Bảo mật vân tay",0,512GB M.2 NVMe™ PCIe® 3.0 SSD,Bluetooth 5.0,15.390.000,Tấm nền IPS,Intel® UHD Graphics,Có,Laptop ASUS VivoBook 15 A515EA,Windows 10 Home SL,0,"15.6-inch FHD (1920 x 1080) 16:9, 250nits, Anti-glare display",Audio by Harman/Kardon,3,166,1920 x 1080 pixels (FullHD),HD webcam,35.90 x 23.50 x 1.79 ~ 1.79 cm,"DDR4 2666MHz, 1 khe cắm, hỗ trợ tối đa 12GB",Full HD,1.80 kg,Không,"1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A, 1x HDMI 1.4, 1x Headphone out",0,Vỏ kim loại,https://cellphones.com.vn/laptop-asus-vivobook-15-a515ea-i3-ram-4gb.html,15.6 inches,Không,"3 Cell, 42 Wh ",15.160.000
8GB,Intel 802.11ax (2x2) Wi-Fi 6 (Gig+),AMD Ryzen 7 4800H 2.9GHz up to 4.2GHz 8MB,1,"Ổ cứng SSD, Wi-Fi 6",0,512GB SSD PCIE G3X4 (Còn trống 2 khe SSD M.2 PCIE),,23.490.000,Tấm nền IPS,NVIDIA GeForce GTX 1650 4GB GDDR6,Có,Laptop ASUS Gaming ROG Strix G15 G513IH-HN015T,Windows 10 Home SL ,0,"Tần số quét 144Hz, màn hình chống loá",Dolby Atmos,1,147,1920 x 1080 pixels (FullHD),,35.4 x 25.9 x 2.26 ~ 2.72 (cm),"DDR4 3200MHz, 2 khe cắm tối đa 32GB",Full HD,2.3 kg,Không,1x Type C USB 3.2 Gen 2 with Power Delivery and Display Port 3x USB 3.2 Gen 1 Type-A 1x HDMI 2.0b 1x 3.5mm Combo Audio Jack 1x RJ45 LAN Jack,0,Vỏ nhựa,https://cellphones.com.vn/laptop-asus-rog-strix-g15-g513ih-hn015t.html,15.6 inches,Có,4 Cell 56WHrs,23.090.000
16GB,Intel WiFi 6 with Gig+ performance (802.11ax),Intel Core i7-1165G7 2.8GHz up to 4.7GHz 12MB,0,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Nhận diện khuôn mặt",0,512GB SSD M.2 PCIE G3X2,Bluetooth 5.0,30.690.000,Tấm nền IPS,Intel Iris Xe Graphics,Có,Laptop ASUS Zenbook UX425EA,Windows 10 Home SL,0,"Màn hình chống lóa, 100% sRGB, 300nits",Harman Kardon speakers,0,63,1920 x 1080 pixels (FullHD),"HD Web Camera, Camera IR",31.9 x 20.8 x 1.39 (cm),"LPDDR4X 3200MHz, không hỗ trợ nâng cấp",Full HD,1.17kg,Không,2x Thunderbolt 4 USB-C (up to 40Gbps) 1x USB 3.2 Gen 1 Type-A (up to 5Gbps) 1x Standard HDMI 2.0a,0,,https://cellphones.com.vn/laptop-asus-zenbook-14-ux425ea-ki439t.html,14 inches,Có,4 Cell 67WHr Lithium-Polymer,29.490.000
8GB,Intel WiFi 6 with Gig+ performance (802.11ax),Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,1,"Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng, Nhận diện khuôn mặt",0,512GB SSD M.2 PCIE G3X2,Bluetooth 5.0,24.690.000,Tấm nền IPS,Intel Iris Xe Graphics,Có,Laptop ASUS Zenbook UX425EA,Windows 10 Home SL,0,"Màn hình chống lóa, 100% sRGB, 400nits",Audio by Harman/Kardon,2,131,1920 x 1080 pixels (FullHD),Camera IRHD webcam,31.9 x 20.8 x 1.39 (cm),"LPDDR4X 4266MHz, không hỗ trợ nâng cấp",Full HD,1.17kg,Không,2x Thunderbolt 4 USB-C (up to 40Gbps) 1x USB 3.2 Gen 1 Type-A (up to 5Gbps) 1x Standard HDMI 2.0a,0,Vỏ kim loại,https://cellphones.com.vn/laptop-asus-zenbook-14-ux425ea-ki429t.html,14 inches,Có,4 Cell 67WHr Lithium-Polymer,23.690.000
8GB,802.11AC (2x2),AMD Ryzen 5 4600H,1,Ổ cứng SSD,0,256GB SSD,v5.0,18.690.000,Tấm nền IPS,NVIDIA GeForce GTX 1650 4GB,,Laptop Lenovo Ideapad Gaming 3 15ARH05 82EY00JXVN,Windows 10 ,0,"IPS, độ sáng 250nits, chống chói, tần số quét 120Hz","2 Loa, HD Audio, Dolby Audio",2,246,1080 x 1920 pixels (FullHD),HD 720p,359 x 249.6 x 24.9 (mm)," DDR4 3200MHz, 2 khe cắm, hỗ trợ lên đến 16GB",Full HD,2.2 kg,Không,2x USB 3.1 Gen 1  1x USB 3.1 Type-C Gen 1 1x HDMI 2.0  1x RJ-45,0,,https://cellphones.com.vn/laptop-lenovo-ideapad-gaming-3-15arh05-82ey00jxvn.html,15.6 inches,Có,3 Cell 45WHr,17.820.000
8GB, 802.11ax 2x2,Intel Core i5-10300H,0,"Công nghệ Intel Gaming, Ổ cứng SSD",0,512GB SSD,v5.0,21.990.000,Tấm nền IPS,NVIDIA GeForce GTX 1650 4GB GDDR6,,Laptop Lenovo Ideapad Gaming 3 15IMH05 81Y400X0VN,Window 10,0,"IPS, độ sáng 250nits chống chói, tần số quét 120Hz","HD Audio, Dolby Audio, stereo speakers, 1.5W x 2",1,307,1080 x 1920 pixels (FullHD),720p,359 x 249.6 x 24.9 mm,"DDR4 2933MHz, 2 khe, hỗ trợ tối đa 16GB",Full HD,2.2kg,Không,2 x USB 3.2 Gen 1  1 x USB-C 3.2 Gen 1  Kết nối HDMI/VGA  1 x HDMI 2.0  1 x headphone/microphone combo jack (3.5mm),0,,https://cellphones.com.vn/laptop-lenovo-ideapad-gaming-3-15imh05-81y400x0vn.html,15.6 inches,Có, 3Cell 45WHrs,19.160.000
8GB,"11ax, 2x2 ",AMD Ryzen 7-4800H,0,Ổ cứng SSD,0,512GB SSD,v5.1,,Tấm nền IPS,NVIDIA GeForce GTX 1650 4GB GDDR6,,Laptop Lenovo Ideapad Gaming 3 15ARH05 82EY00N3VN,Windows 10 Home,0,"IPS, độ sáng 250nits chống chói, tần số quét 120Hz","Realtek High Definition Audio (Dolby Audio, stereo speakers, 1.5W x 2)",0,91,1080 x 1920 pixels (FullHD),HD Web Camera,359 x 249.6 x 24.9 mm,"SO-DIMM DDR4-3200Mhz (2 khe, hỗ trợ tối đa 16GB)",Full HD,2.2 kg,Không,1 x USB-C 3.2 Gen 1  2x USB 3.2 Gen 1  1x HDMI 2.0  1x headphone/microphone combo jack (3.5mm),0,,https://cellphones.com.vn/laptop-lenovo-ideapad-gaming-3-15arh05-82ey00n3vn.html,15.6 inches,Có,"3 Cell, 45Wh",
8GB,802.11 ax,Intel® Core™ i7-10750H,0,"Công nghệ Intel Gaming, Ổ cứng SSD, Wi-Fi 6, Viền màn hình siêu mỏng",0,512GB SSD M.2 NVMe,Bluetooth® 5.0,25.490.000,Tấm nền IPS,NVIDIA GEFORCE GTX 1650Ti 4GB,,Laptop Lenovo Ideapad Gaming 3 15IMH05 81Y400Y9VN,Windows 10 Home SL,0," 15.6 inch FHD (1920x1080) IPS 250nits Anti-glare, 120Hz",Dolby Audio,0,92,1920 x 1080 pixels (FullHD),HD webcam có màn trập bảo mật,359mm x 249.6mm x 24.9mm,"DDR4 3200HZ, 2 khe tối đa 16GB",Full HD,2.2kg,Không,"2 x USB 3.1 (Gen 1), 1 x USB-C 3.1, 1 x HDMI 2.0",0,,https://cellphones.com.vn/laptop-lenovo-ideapad-gaming-3-15imh05-i7.html,15.6 inches,,3Cell 45WH,22.290.000
